CELL_LINE_NAME,DRUG_NAME,LN_IC50
A673,Camptothecin,-4.869447
A673,Docetaxel,-6.170864
A673,Methotrexate,-2.334867
A673,Gefitinib,3.578673
A673,Navitoclax,1.09033
A673,Vorinostat,1.268468
A673,Nilotinib,4.04711
A673,Olaparib,1.782117
A673,AZD7762,-0.485929
A673,GW441756,3.10185
COLO-829,Camptothecin,-1.230277
COLO-829,Docetaxel,0.509813
COLO-829,Methotrexate,-2.447443
COLO-829,Gefitinib,4.759362
COLO-829,Navitoclax,7.1515
COLO-829,Vorinostat,2.001631
COLO-829,Nilotinib,4.253177
COLO-829,Olaparib,4.091293
COLO-829,AZD7762,1.354734
COLO-829,GW441756,4.353768
ES5,Camptothecin,-3.360684
ES5,Docetaxel,-5.984889
ES5,Methotrexate,2.298909
ES5,Gefitinib,2.458588
ES5,Navitoclax,0.965803
ES5,Vorinostat,0.291173
ES5,Nilotinib,2.453456
ES5,Olaparib,2.116281
ES5,AZD7762,-0.588999
ES5,GW441756,3.333661
ES7,Camptothecin,-5.045014
ES7,Docetaxel,-6.284869
ES7,Methotrexate,-3.281846
ES7,Gefitinib,2.49845
ES7,Navitoclax,0.309114
ES7,Vorinostat,1.129438
ES7,Nilotinib,1.329329
ES7,Olaparib,1.685911
ES7,AZD7762,-1.341516
ES7,GW441756,2.617708
EW-11,Camptothecin,-3.74162
EW-11,Docetaxel,-4.686183
EW-11,Methotrexate,-1.243816
EW-11,Gefitinib,4.092114
EW-11,Navitoclax,0.064044
EW-11,Vorinostat,0.811579
EW-11,Nilotinib,4.4557
EW-11,Olaparib,2.078826
EW-11,AZD7762,-0.698661
EW-11,GW441756,4.046209
PFSK-1,Camptothecin,-1.462148
PFSK-1,Docetaxel,-5.534982
PFSK-1,Methotrexate,-1.847259
PFSK-1,Gefitinib,2.10137
PFSK-1,Navitoclax,2.450419
PFSK-1,Vorinostat,0.315813
PFSK-1,Nilotinib,2.16895
PFSK-1,Olaparib,4.494687
PFSK-1,AZD7762,-0.042841
PFSK-1,GW441756,3.74419
RT4,Camptothecin,-2.962875
RT4,Docetaxel,-4.240427
RT4,Methotrexate,-1.807783
RT4,Gefitinib,2.299787
RT4,Navitoclax,1.507487
RT4,Vorinostat,2.898622
RT4,Nilotinib,3.00603
RT4,Olaparib,3.474214
RT4,AZD7762,1.32333
RT4,GW441756,1.907258
SK-ES-1,Camptothecin,-5.143017
SK-ES-1,Docetaxel,-6.386234
SK-ES-1,Methotrexate,-3.29868
SK-ES-1,Gefitinib,3.052249
SK-ES-1,Navitoclax,-0.364979
SK-ES-1,Vorinostat,0.831563
SK-ES-1,Nilotinib,2.015979
SK-ES-1,Olaparib,0.592341
SK-ES-1,AZD7762,-0.667561
SK-ES-1,GW441756,2.560426
SW780,Camptothecin,-1.447051
SW780,Docetaxel,-3.292242
SW780,Methotrexate,3.315226
SW780,Gefitinib,4.00557
SW780,Navitoclax,3.829078
SW780,Vorinostat,2.905181
SW780,Nilotinib,4.07509
SW780,Olaparib,5.042682
SW780,AZD7762,1.350984
SW780,GW441756,3.882033
TCCSUP,Camptothecin,-2.3492
TCCSUP,Docetaxel,-4.171741
TCCSUP,Methotrexate,2.233836
TCCSUP,Gefitinib,3.158882
TCCSUP,Navitoclax,1.889067
TCCSUP,Vorinostat,1.950813
TCCSUP,Nilotinib,4.81239
TCCSUP,Olaparib,4.493037
TCCSUP,AZD7762,0.037716
TCCSUP,GW441756,2.76525
