CELL_LINE_NAME,DRUG_NAME,AUC
A673,Camptothecin,0.614932
A673,Docetaxel,0.71058
A673,Methotrexate,0.644199
A673,Gefitinib,0.986691
A673,Navitoclax,0.816974
A673,Vorinostat,0.793769
A673,Nilotinib,0.991001
A673,Olaparib,0.842558
A673,AZD7762,0.586552
A673,GW441756,0.9803
COLO-829,Camptothecin,0.86721
COLO-829,Docetaxel,0.974515
COLO-829,Methotrexate,0.598783
COLO-829,Gefitinib,0.962752
COLO-829,Navitoclax,0.978483
COLO-829,Vorinostat,0.782686
COLO-829,Nilotinib,0.953203
COLO-829,Olaparib,0.899994
COLO-829,AZD7762,0.733061
COLO-829,GW441756,0.955264
ES5,Camptothecin,0.790953
ES5,Docetaxel,0.731857
ES5,Methotrexate,0.978223
ES5,Gefitinib,0.96674
ES5,Navitoclax,0.902235
ES5,Vorinostat,0.68379
ES5,Nilotinib,0.894258
ES5,Olaparib,0.869796
ES5,AZD7762,0.788105
ES5,GW441756,0.983503
ES7,Camptothecin,0.592624
ES7,Docetaxel,0.697386
ES7,Methotrexate,0.522494
ES7,Gefitinib,0.968446
ES7,Navitoclax,0.74431
ES7,Vorinostat,0.779833
ES7,Nilotinib,0.924359
ES7,Olaparib,0.834512
ES7,AZD7762,0.475057
ES7,GW441756,0.971295
EW-11,Camptothecin,0.733992
EW-11,Docetaxel,0.838476
EW-11,Methotrexate,0.753918
EW-11,Gefitinib,0.983153
EW-11,Navitoclax,0.708929
EW-11,Vorinostat,0.728569
EW-11,Nilotinib,0.986892
EW-11,Olaparib,0.844745
EW-11,AZD7762,0.555176
EW-11,GW441756,0.982613
PFSK-1,Camptothecin,0.930105
PFSK-1,Docetaxel,0.778105
PFSK-1,Methotrexate,0.701252
PFSK-1,Gefitinib,0.953231
PFSK-1,Navitoclax,0.890282
PFSK-1,Vorinostat,0.684774
PFSK-1,Nilotinib,0.955486
PFSK-1,Olaparib,0.974072
PFSK-1,AZD7762,0.641203
PFSK-1,GW441756,0.986828
RT4,Camptothecin,0.821372
RT4,Docetaxel,0.884763
RT4,Methotrexate,0.702806
RT4,Gefitinib,0.955703
RT4,Navitoclax,0.844284
RT4,Vorinostat,0.91267
RT4,Nilotinib,0.973457
RT4,Olaparib,0.94012
RT4,AZD7762,0.791361
RT4,GW441756,0.941824
SK-ES-1,Camptothecin,0.582414
SK-ES-1,Docetaxel,0.691106
SK-ES-1,Methotrexate,0.5209
SK-ES-1,Gefitinib,0.985555
SK-ES-1,Navitoclax,0.678394
SK-ES-1,Vorinostat,0.755617
SK-ES-1,Nilotinib,0.963463
SK-ES-1,Olaparib,0.727297
SK-ES-1,AZD7762,0.565077
SK-ES-1,GW441756,0.977377
SW780,Camptothecin,0.904961
SW780,Docetaxel,0.916399
SW780,Methotrexate,0.978164
SW780,Gefitinib,0.978125
SW780,Navitoclax,0.946654
SW780,Vorinostat,0.891261
SW780,Nilotinib,0.979075
SW780,Olaparib,0.968599
SW780,AZD7762,0.774836
SW780,GW441756,0.976334
TCCSUP,Camptothecin,0.843291
TCCSUP,Docetaxel,0.860988
TCCSUP,Methotrexate,0.952628
TCCSUP,Gefitinib,0.958612
TCCSUP,Navitoclax,0.848569
TCCSUP,Vorinostat,0.820373
TCCSUP,Nilotinib,0.984812
TCCSUP,Olaparib,0.951426
TCCSUP,AZD7762,0.636045
TCCSUP,GW441756,0.948007
