CELL_LINE_NAME,DRUG_NAME,AUC
A673,Sepantronium bromide,0.041134
A673,Docetaxel,0.104534
A673,Dactinomycin,0.22844
A673,LMP744,0.296518
A673,CDK9_5038,0.317372
A673,Pevonedistat,0.411662
A673,Gemcitabine,0.416262
A673,Daporinad,0.4303
A673,Staurosporine,0.434966
A673,CDK9_5576,0.455406
COLO-829,Sepantronium bromide,0.191822
COLO-829,Dactinomycin,0.469379
COLO-829,Staurosporine,0.528473
COLO-829,Trametinib,0.545685
COLO-829,MG-132,0.574445
COLO-829,Methotrexate,0.598783
COLO-829,PAK_5339,0.63458
COLO-829,Refametinib,0.642701
COLO-829,Sabutoclax,0.642836
COLO-829,PD0325901,0.648376
ES5,Sepantronium bromide,0.047773
ES5,Docetaxel,0.195324
ES5,Daporinad,0.244512
ES5,Dactinomycin,0.311616
ES5,CDK9_5038,0.317766
ES5,SN-38,0.325245
ES5,IGF1R_3801,0.331937
ES5,Staurosporine,0.333023
ES5,Gemcitabine,0.353349
ES5,BMS-754807,0.361047
ES7,Sepantronium bromide,0.049421
ES7,Docetaxel,0.081667
ES7,Dactinomycin,0.236881
ES7,LMP744,0.248307
ES7,CDK9_5038,0.287315
ES7,Sabutoclax,0.316725
ES7,Topotecan,0.320174
ES7,Talazoparib,0.349948
ES7,BI-2536,0.353914
ES7,Daporinad,0.358046
EW-11,Sepantronium bromide,0.070216
EW-11,Docetaxel,0.301782
EW-11,Dactinomycin,0.307941
EW-11,Staurosporine,0.405223
EW-11,CDK9_5038,0.415377
EW-11,LMP744,0.487418
EW-11,BMS-754807,0.488729
EW-11,Sabutoclax,0.507177
EW-11,Talazoparib,0.508405
EW-11,GNE-317,0.510602
PFSK-1,Sepantronium bromide,0.143232
PFSK-1,Dactinomycin,0.24106
PFSK-1,Docetaxel,0.267556
PFSK-1,CDK9_5038,0.288888
PFSK-1,MG-132,0.375325
PFSK-1,Staurosporine,0.458129
PFSK-1,CDK9_5576,0.461083
PFSK-1,Sabutoclax,0.463586
PFSK-1,Dinaciclib,0.472174
PFSK-1,AZD5991,0.523831
RT4,CDK9_5038,0.326138
RT4,Sepantronium bromide,0.397419
RT4,Dactinomycin,0.412646
RT4,Gemcitabine,0.420576
RT4,CDK9_5576,0.465587
RT4,MG-132,0.504984
RT4,Dinaciclib,0.54264
RT4,Staurosporine,0.561451
RT4,Topotecan,0.591262
RT4,Bleomycin (50 uM),0.608593
SK-ES-1,Sepantronium bromide,0.036282
SK-ES-1,Docetaxel,0.088288
SK-ES-1,Talazoparib,0.099443
SK-ES-1,Dactinomycin,0.181592
SK-ES-1,Staurosporine,0.24396
SK-ES-1,Mitoxantrone,0.248984
SK-ES-1,Topotecan,0.259535
SK-ES-1,LMP744,0.282404
SK-ES-1,BMS-754807,0.30565
SK-ES-1,Sabutoclax,0.340651
SW780,Sepantronium bromide,0.187545
SW780,Dactinomycin,0.385739
SW780,Docetaxel,0.457945
SW780,MG-132,0.555434
SW780,Dinaciclib,0.606106
SW780,Staurosporine,0.624993
SW780,Acetalax,0.631826
SW780,Obatoclax Mesylate,0.706842
SW780,Telomerase Inhibitor IX,0.724457
SW780,Sabutoclax,0.730182
TCCSUP,Sepantronium bromide,0.179741
TCCSUP,Dactinomycin,0.398913
TCCSUP,Staurosporine,0.432757
TCCSUP,MG-132,0.552044
TCCSUP,AZD7762,0.636045
TCCSUP,Tanespimycin,0.663847
TCCSUP,GNE-317,0.66779
TCCSUP,MK-1775,0.683442
TCCSUP,Buparlisib,0.739297
TCCSUP,Obatoclax Mesylate,0.742306
